Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
24-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
25-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
26-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
27-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
28-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
29-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
30-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
31-05-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
01-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
02-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
03-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
04-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
05-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
06-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
07-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
08-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
09-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
10-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,33,0,0,0,8249
11-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,34,0,33,1,0,0,8249
12-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,38,0,33,4,0,0,8249
13-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,38,0,33,0,0,0,8249
14-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,38,0,33,0,0,0,8249
15-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,38,0,33,0,0,0,8249
16-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,41,0,33,3,0,0,8249
17-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,44,0,33,3,0,0,8249
18-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,44,0,33,0,0,0,8249
19-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,44,0,33,0,0,0,8249
20-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,45,0,35,1,0,2,8249
21-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,47,0,36,2,0,1,8249
22-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,48,0,37,1,0,1,8249
23-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,48,0,37,0,0,0,8249
24-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,50,0,40,2,0,3,8249
25-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,56,0,43,6,0,3,8249
27-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,72,0,43,16,0,0,8249
28-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,72,0,43,0,0,0,8249
29-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,76,0,45,4,0,2,8249
30-06-2020,Andaman and Nicobar Islands,11.7401,92.6586,90,0,46,14,0,1,8249
02-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,100,0,50,10,0,4,8249
03-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,109,0,51,9,0,1,8249
